	<yagoTheme_infoboxTermsToBeRedirected_en>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"
	<Giorgio_Napolitano>	<infobox/en/termend>	"14"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/termend>	"1994"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/termend>	"14 April 1994"
	<Giorgio_Napolitano>	<infobox/en/termend>	"1994-04-14"^^xsd:date
	<Giorgio_Napolitano>	<infobox/en/termend>	"21"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/termend>	"1998"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/termend>	"21 October 1998"
	<Giorgio_Napolitano>	<infobox/en/termend>	"1998-10-21"^^xsd:date
	<Giorgio_Napolitano>	<infobox/en/termstart>	"15"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/termstart>	"2006"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/termstart>	"15 May 2006"
	<Giorgio_Napolitano>	<infobox/en/termstart>	"2006-05-15"^^xsd:date
	<Giorgio_Napolitano>	<infobox/en/termstart>	"17"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/termstart>	"1996"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/termstart>	"17 May 1996"
	<Giorgio_Napolitano>	<infobox/en/termstart>	"1996-05-17"^^xsd:date
	<Giorgio_Napolitano>	<infobox/en/termstart>	"3"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/termstart>	"1992"^^xsd:integer
	<Giorgio_Napolitano>	<infobox/en/termstart>	"3 June 1992"
	<Giorgio_Napolitano>	<infobox/en/termstart>	"1992-06-03"^^xsd:date
	<Giuliano_Amato>	<infobox/en/almamater>	<University_of_Pisa>
	<Giuliano_Amato>	<infobox/en/almamater>	<Sant'Anna_School_of_Advanced_Studies>
	<Giuliano_Amato>	<infobox/en/almamater>	<Columbia_Law_School>
	<Giuliano_Amato>	<infobox/en/almamater>	"University of Pisa"
	<Giuliano_Amato>	<infobox/en/almamater>	"Sant'Anna School of Advanced Studies"
	<Giuliano_Amato>	<infobox/en/almamater>	"Columbia University"
	<Giuliano_Amato>	<infobox/en/birthdate>	"1938"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/birthdate>	"5"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/birthdate>	"13"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/birthdate>	"1938-05-13"^^xsd:date
	<Giuliano_Amato>	<infobox/en/birthplace>	<Turin>
	<Giuliano_Amato>	<infobox/en/birthplace>	<Piedmont>
	<Giuliano_Amato>	<infobox/en/birthplace>	<Italy>
	<Giuliano_Amato>	<infobox/en/birthplace>	"Turin"
	<Giuliano_Amato>	<infobox/en/birthplace>	"Piedmont"
	<Giuliano_Amato>	<infobox/en/birthplace>	"Italy"
	<Giuliano_Amato>	<infobox/en/children>	<Elisa_Amato>
	<Giuliano_Amato>	<infobox/en/children>	<Lorenzo_Amato>
	<Giuliano_Amato>	<infobox/en/children>	"Elisa Amato"
	<Giuliano_Amato>	<infobox/en/children>	"Lorenzo Amato"
	<Giuliano_Amato>	<infobox/en/image>	"2009"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/image>	"2009-##-##"^^xsd:date
	<Giuliano_Amato>	<infobox/en/name>	<Giuliano_Amato>
	<Giuliano_Amato>	<infobox/en/name>	"Giuliano Amato"
	<Giuliano_Amato>	<infobox/en/office>	<Prime_Minister_of_Italy>
	<Giuliano_Amato>	<infobox/en/office>	"48"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/office>	"48th"
	<Giuliano_Amato>	<infobox/en/office>	"Prime Minister of Italy"
	<Giuliano_Amato>	<infobox/en/office>	<Italian_Minister_of_Universities>
	<Giuliano_Amato>	<infobox/en/office>	"Minister of Universities"
	<Giuliano_Amato>	<infobox/en/office>	<Italian_Minister_of_the_Interior>
	<Giuliano_Amato>	<infobox/en/office>	"Minister of the Interior"
	<Giuliano_Amato>	<infobox/en/office>	<Italian_Minister_of_the_Treasury>
	<Giuliano_Amato>	<infobox/en/office>	"Minister of the Treasury"
	<Giuliano_Amato>	<infobox/en/office>	<Minister_without_portfolio>
	<Giuliano_Amato>	<infobox/en/office>	"Minister without portfolio"
	<Giuliano_Amato>	<infobox/en/otherparty>	<Italian_Socialist_Party>
	<Giuliano_Amato>	<infobox/en/otherparty>	"Socialist Party"
	<Giuliano_Amato>	<infobox/en/party>	<Democratic_Party_(Italy)>
	<Giuliano_Amato>	<infobox/en/party>	"Democratic Party"
	<Giuliano_Amato>	<infobox/en/predecessor>	<Carlo_Azeglio_Ciampi>
	<Giuliano_Amato>	<infobox/en/predecessor>	"Carlo Azeglio Ciampi"
	<Giuliano_Amato>	<infobox/en/predecessor>	<Franco_Bassanini>
	<Giuliano_Amato>	<infobox/en/predecessor>	"Franco Bassanini"
	<Giuliano_Amato>	<infobox/en/predecessor>	<Giovanni_Goria>
	<Giuliano_Amato>	<infobox/en/predecessor>	"Giovanni Goria"
	<Giuliano_Amato>	<infobox/en/predecessor>	<Giulio_Andreotti>
	<Giuliano_Amato>	<infobox/en/predecessor>	"Giulio Andreotti"
	<Giuliano_Amato>	<infobox/en/predecessor>	<Giuseppe_Pisanu>
	<Giuliano_Amato>	<infobox/en/predecessor>	"Giuseppe Pisanu"
	<Giuliano_Amato>	<infobox/en/predecessor>	<Massimo_D'Alema>
	<Giuliano_Amato>	<infobox/en/predecessor>	"Massimo D'Alema"
	<Giuliano_Amato>	<infobox/en/predecessor>	<Ortensio_Zecchino>
	<Giuliano_Amato>	<infobox/en/predecessor>	"Ortensio Zecchino"
	<Giuliano_Amato>	<infobox/en/president>	<Carlo_Azeglio_Ciampi>
	<Giuliano_Amato>	<infobox/en/president>	"Carlo Azeglio Ciampi"
	<Giuliano_Amato>	<infobox/en/president>	<Oscar_Luigi_Scalfaro>
	<Giuliano_Amato>	<infobox/en/president>	"Oscar Luigi Scalfaro"
	<Giuliano_Amato>	<infobox/en/primeminister>	"Himself"
	<Giuliano_Amato>	<infobox/en/primeminister>	<Giovanni_Goria>
	<Giuliano_Amato>	<infobox/en/primeminister>	<Ciriaco_De_Mita>
	<Giuliano_Amato>	<infobox/en/primeminister>	"Giovanni Goria"
	<Giuliano_Amato>	<infobox/en/primeminister>	"Ciriaco De Mita"
	<Giuliano_Amato>	<infobox/en/primeminister>	<Massimo_D'Alema>
	<Giuliano_Amato>	<infobox/en/primeminister>	"Massimo D'Alema"
	<Giuliano_Amato>	<infobox/en/primeminister>	<Romano_Prodi>
	<Giuliano_Amato>	<infobox/en/primeminister>	"Romano Prodi"
	<Giuliano_Amato>	<infobox/en/spouse>	<Diana_Vincenzi>
	<Giuliano_Amato>	<infobox/en/spouse>	"Diana Vincenzi"
	<Giuliano_Amato>	<infobox/en/successor>	<Antonio_Maccanico>
	<Giuliano_Amato>	<infobox/en/successor>	"Antonio Maccanico"
	<Giuliano_Amato>	<infobox/en/successor>	<Carlo_Azeglio_Ciampi>
	<Giuliano_Amato>	<infobox/en/successor>	"Carlo Azeglio Ciampi"
	<Giuliano_Amato>	<infobox/en/successor>	<Guido_Carli>
	<Giuliano_Amato>	<infobox/en/successor>	"Guido Carli"
	<Giuliano_Amato>	<infobox/en/successor>	<Letizia_Moratti>
	<Giuliano_Amato>	<infobox/en/successor>	"Letizia Moratti"
	<Giuliano_Amato>	<infobox/en/successor>	<Roberto_Maroni>
	<Giuliano_Amato>	<infobox/en/successor>	"Roberto Maroni"
	<Giuliano_Amato>	<infobox/en/successor>	<Silvio_Berlusconi>
	<Giuliano_Amato>	<infobox/en/successor>	"Silvio Berlusconi"
	<Giuliano_Amato>	<infobox/en/successor>	<Vincenzo_Visco>
	<Giuliano_Amato>	<infobox/en/successor>	"Vincenzo Visco"
	<Giuliano_Amato>	<infobox/en/termend>	"11"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"2001"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"11 July 2001"
	<Giuliano_Amato>	<infobox/en/termend>	"2001-07-11"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termend>	"11"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"2001"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"11 June 2001"
	<Giuliano_Amato>	<infobox/en/termend>	"2001-06-11"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termend>	"13"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"1999"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"13 May 1999"
	<Giuliano_Amato>	<infobox/en/termend>	"1999-05-13"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termend>	"22"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"1993"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"22 April 1993"
	<Giuliano_Amato>	<infobox/en/termend>	"1993-04-22"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termend>	"22"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"1989"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"22 July 1989"
	<Giuliano_Amato>	<infobox/en/termend>	"1989-07-22"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termend>	"25"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"2000"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"25 April 2000"
	<Giuliano_Amato>	<infobox/en/termend>	"2000-04-25"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termend>	"8"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"2008"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termend>	"8 May 2008"
	<Giuliano_Amato>	<infobox/en/termend>	"2008-05-08"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termstart>	"13"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"1999"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"13 May 1999"
	<Giuliano_Amato>	<infobox/en/termstart>	"1999-05-13"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termstart>	"17"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"2006"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"17 May 2006"
	<Giuliano_Amato>	<infobox/en/termstart>	"2006-05-17"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termstart>	"2"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"2001"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"2 February 2001"
	<Giuliano_Amato>	<infobox/en/termstart>	"2001-02-02"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termstart>	"21"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"1998"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"21 October 1998"
	<Giuliano_Amato>	<infobox/en/termstart>	"1998-10-21"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termstart>	"25"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"2000"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"25 April 2000"
	<Giuliano_Amato>	<infobox/en/termstart>	"2000-04-25"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termstart>	"28"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"1987"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"28 July 1987"
	<Giuliano_Amato>	<infobox/en/termstart>	"1987-07-28"^^xsd:date
	<Giuliano_Amato>	<infobox/en/termstart>	"28"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"1992"^^xsd:integer
	<Giuliano_Amato>	<infobox/en/termstart>	"28 June 1992"
	<Giuliano_Amato>	<infobox/en/termstart>	"1992-06-28"^^xsd:date
	<Giulio_Tremonti>	<infobox/en/almamater>	<University_of_Pavia>
	<Giulio_Tremonti>	<infobox/en/almamater>	"University of Pavia"
	<Giulio_Tremonti>	<infobox/en/birthdate>	"1947"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/birthdate>	"8"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/birthdate>	"18"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/birthdate>	"1947-08-18"^^xsd:date
	<Giulio_Tremonti>	<infobox/en/birthplace>	<Sondrio>
	<Giulio_Tremonti>	<infobox/en/birthplace>	<Kingdom_of_Italy_(1861–1946)>
	<Giulio_Tremonti>	<infobox/en/birthplace>	"1861"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/birthplace>	"1946"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/birthplace>	"Sondrio"
	<Giulio_Tremonti>	<infobox/en/birthplace>	"Italy"
	<Giulio_Tremonti>	<infobox/en/birthplace>	"1861-##-##"^^xsd:date
	<Giulio_Tremonti>	<infobox/en/birthplace>	"1946-##-##"^^xsd:date
	<Giulio_Tremonti>	<infobox/en/caption>	<World_Economic_Forum>
	<Giulio_Tremonti>	<infobox/en/caption>	<Davos>
	<Giulio_Tremonti>	<infobox/en/caption>	<Switzerland>
	<Giulio_Tremonti>	<infobox/en/caption>	"World Economic Forum"
	<Giulio_Tremonti>	<infobox/en/caption>	"Davos"
	<Giulio_Tremonti>	<infobox/en/caption>	"Switzerland"
	<Giulio_Tremonti>	<infobox/en/name>	<Giulio_Tremonti>
	<Giulio_Tremonti>	<infobox/en/name>	"Giulio Tremonti"
	<Giulio_Tremonti>	<infobox/en/office>	"Minister of Economy and Finance"
	<Giulio_Tremonti>	<infobox/en/party>	<The_People_of_Freedom>
	<Giulio_Tremonti>	<infobox/en/party>	"People of Freedom"
	<Giulio_Tremonti>	<infobox/en/predecessor>	<Domenico_Siniscalco>
	<Giulio_Tremonti>	<infobox/en/predecessor>	"Domenico Siniscalco"
	<Giulio_Tremonti>	<infobox/en/predecessor>	<Franco_Gallo>
	<Giulio_Tremonti>	<infobox/en/predecessor>	"Franco Gallo"
	<Giulio_Tremonti>	<infobox/en/predecessor>	<Tommaso_Padoa-Schioppa>
	<Giulio_Tremonti>	<infobox/en/predecessor>	"Tommaso Padoa-Schioppa"
	<Giulio_Tremonti>	<infobox/en/predecessor>	<Vincenzo_Visco>
	<Giulio_Tremonti>	<infobox/en/predecessor>	"Vincenzo Visco"
	<Giulio_Tremonti>	<infobox/en/primeminister>	<Silvio_Berlusconi>
	<Giulio_Tremonti>	<infobox/en/primeminister>	"Silvio Berlusconi"
	<Giulio_Tremonti>	<infobox/en/profession>	<wordnet_lawyer_110249950>
	<Giulio_Tremonti>	<infobox/en/profession>	<Lawyer>
	<Giulio_Tremonti>	<infobox/en/profession>	<professor>
	<Giulio_Tremonti>	<infobox/en/profession>	"Lawyer"
	<Giulio_Tremonti>	<infobox/en/profession>	"Law"
	<Giulio_Tremonti>	<infobox/en/profession>	"professor"
	<Giulio_Tremonti>	<infobox/en/religion>	<Catholic_Church>
	<Giulio_Tremonti>	<infobox/en/religion>	"Roman Catholicism"
	<Giulio_Tremonti>	<infobox/en/successor>	<Augusto_Fantozzi>
	<Giulio_Tremonti>	<infobox/en/successor>	"Augusto Fantozzi"
	<Giulio_Tremonti>	<infobox/en/successor>	<Mario_Monti>
	<Giulio_Tremonti>	<infobox/en/successor>	"Mario Monti"
	<Giulio_Tremonti>	<infobox/en/successor>	<Silvio_Berlusconi>
	<Giulio_Tremonti>	<infobox/en/successor>	"Silvio Berlusconi"
	<Giulio_Tremonti>	<infobox/en/successor>	<Tommaso_Padoa-Schioppa>
	<Giulio_Tremonti>	<infobox/en/successor>	"Tommaso Padoa-Schioppa"
	<Giulio_Tremonti>	<infobox/en/termend>	"16"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termend>	"2011"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termend>	"16 November 2011"
	<Giulio_Tremonti>	<infobox/en/termend>	"2011-11-16"^^xsd:date
	<Giulio_Tremonti>	<infobox/en/termend>	"17"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termend>	"1995"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termend>	"17 January 1995"
	<Giulio_Tremonti>	<infobox/en/termend>	"1995-01-17"^^xsd:date
	<Giulio_Tremonti>	<infobox/en/termend>	"17"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termend>	"2006"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termend>	"17 May 2006"
	<Giulio_Tremonti>	<infobox/en/termend>	"2006-05-17"^^xsd:date
	<Giulio_Tremonti>	<infobox/en/termend>	"3"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termend>	"2004"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termend>	"3 July 2004"
	<Giulio_Tremonti>	<infobox/en/termend>	"2004-07-03"^^xsd:date
	<Giulio_Tremonti>	<infobox/en/termstart>	"10"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termstart>	"2001"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termstart>	"10 June 2001"
	<Giulio_Tremonti>	<infobox/en/termstart>	"2001-06-10"^^xsd:date
	<Giulio_Tremonti>	<infobox/en/termstart>	"10"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termstart>	"1994"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termstart>	"10 May 1994"
	<Giulio_Tremonti>	<infobox/en/termstart>	"1994-05-10"^^xsd:date
	<Giulio_Tremonti>	<infobox/en/termstart>	"23"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termstart>	"2005"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termstart>	"23 April 2005"
	<Giulio_Tremonti>	<infobox/en/termstart>	"2005-04-23"^^xsd:date
	<Giulio_Tremonti>	<infobox/en/termstart>	"8"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termstart>	"2008"^^xsd:integer
	<Giulio_Tremonti>	<infobox/en/termstart>	"8 May 2008"
	<Giulio_Tremonti>	<infobox/en/termstart>	"2008-05-08"^^xsd:date
	<Italian_Chamber_of_Deputies>	<infobox/en/backgroundcolor>	"374"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/backgroundcolor>	"8"^^<A>
	<Italian_Chamber_of_Deputies>	<infobox/en/election>	"30"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/election>	"2008"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/election>	"30 April 2008"
	<Italian_Chamber_of_Deputies>	<infobox/en/election>	"2008-04-30"^^xsd:date
	<Italian_Chamber_of_Deputies>	<infobox/en/housetype>	<Lower_house>
	<Italian_Chamber_of_Deputies>	<infobox/en/housetype>	"Lower house"
	<Italian_Chamber_of_Deputies>	<infobox/en/lastelection>	<Italian_general_election,_2008>
	<Italian_Chamber_of_Deputies>	<infobox/en/lastelection>	"2008"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/lastelection>	"13"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/lastelection>	"14"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/lastelection>	"13–14 April 2008"
	<Italian_Chamber_of_Deputies>	<infobox/en/lastelection>	"2008-##-##"^^xsd:date
	<Italian_Chamber_of_Deputies>	<infobox/en/lastelection>	"2008-04-14"^^xsd:date
	<Italian_Chamber_of_Deputies>	<infobox/en/leader>	<Gianfranco_Fini>
	<Italian_Chamber_of_Deputies>	<infobox/en/leader>	"Gianfranco Fini"
	<Italian_Chamber_of_Deputies>	<infobox/en/leadertype>	<President_of_the_Chamber>
	<Italian_Chamber_of_Deputies>	<infobox/en/leadertype>	"President of the Chamber"
	<Italian_Chamber_of_Deputies>	<infobox/en/meetingplace>	<Palazzo_Montecitorio>
	<Italian_Chamber_of_Deputies>	<infobox/en/meetingplace>	<Rome>
	<Italian_Chamber_of_Deputies>	<infobox/en/meetingplace>	"Palazzo Montecitorio"
	<Italian_Chamber_of_Deputies>	<infobox/en/meetingplace>	"Rome"
	<Italian_Chamber_of_Deputies>	<infobox/en/members>	"630"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/members>	"630"
	<Italian_Chamber_of_Deputies>	<infobox/en/members>	"630-##-##"^^xsd:date
	<Italian_Chamber_of_Deputies>	<infobox/en/name>	<Chamber_of_Deputies>
	<Italian_Chamber_of_Deputies>	<infobox/en/name>	"Chamber of Deputies"
	<Italian_Chamber_of_Deputies>	<infobox/en/nativename>	<Camera_dei_Deputati>
	<Italian_Chamber_of_Deputies>	<infobox/en/nativename>	"Camera dei Deputati"
	<Italian_Chamber_of_Deputies>	<infobox/en/party>	"FLI"
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	<Popolo_della_Liberta>
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	<Partito_Democratico>
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	<Lega_Nord>
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	<Union_of_the_Centre_(2008)>
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	<Italy_of_Values>
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"227"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"206"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"59"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"26"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"2008"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"36"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"22"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"56"^^xsd:integer
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"PdL"
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"PD"
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"LN"
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"FLI"
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"UdC"
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"Idv"
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"Mixed group"
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"227-##-##"^^xsd:date
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"206-##-##"^^xsd:date
	<Italian_Chamber_of_Deputies>	<infobox/en/politicalgroups>	"2008-##-##"^^xsd:date
	<Italian_Chamber_of_Deputies>	<infobox/en/structureres>	"200"^^<px>
	<Italian_Chamber_of_Deputies>	<infobox/en/structureres>	"200px"
	<Italian_Chamber_of_Deputies>	<infobox/en/website>	<http://english.camera.it/>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/capital>	<Turin>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/capital>	<Florence>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/capital>	<Rome>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/capital>	"Turin"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/capital>	"Florence"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/capital>	"Rome"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/commonlanguages>	<Italian_language>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/commonlanguages>	"Italian"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/commonname>	"Italy"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/continent>	"Europe"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/conventionallongname>	<Kingdom_of_Italy>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/conventionallongname>	"Kingdom of Italy"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/country>	"Italy"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/currency>	<Italian_lira>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/currency>	"Italian lira"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateend>	"2"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateend>	"June 2"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateevent>	"25"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateevent>	"1945"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateevent>	"1945-04-25"^^xsd:date
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateevent>	"4"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateevent>	"1918"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateevent>	"1918-11-04"^^xsd:date
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateevent>	"28"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateevent>	"1922"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateevent>	"1922-10-28"^^xsd:date
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateevent>	"20"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateevent>	"1870"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/dateevent>	"1870-09-20"^^xsd:date
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/datepre>	"10"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/datepre>	"1859"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/datepre>	"1859-11-10"^^xsd:date
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/datestart>	"17"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/datestart>	"March 17"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/deputy>	<Alcide_De_Gasperi>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/deputy>	"Alcide De Gasperi"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/deputy>	<Benito_Mussolini>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/deputy>	"Benito Mussolini"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/deputy>	<Camillo_Benso,_Count_of_Cavour>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/deputy>	"Camillo Benso"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/event>	<Armistice_of_villa_Giusti>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/event>	"1918"^^xsd:integer
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/event>	"1918 Armistice"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/event>	"1918-##-##"^^xsd:date
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/event>	<Capture_of_Rome>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/event>	"Capture of Rome"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/event>	<Italian_resistance_movement>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/event>	"Resistance movement"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/event>	<March_on_Rome>
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/event>	"March on Rome"
	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/eventend>	<Birth_of_the_Italian_Republic>
